review_id,place_name,reviewer_name,reviewer_id,local_guide,rating,review_text,likes,date,attributes
Ci9DQUlRQUNvZENodHljRjlvT2toUVpGaGthRXRvVDBkVFVYTnlPVmt0YzFJNWJYYxAB,Third Wave Coffee,Praful Kumar,106740604187782948942,False,5,"Great ambience, good coffee, and tasty food. Had a really nice experience at Third Wave Cafe ☕✨",0,8 hours ago,"{""meal_type"": ""Other"", ""price_per_person"": ""₹200–400"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 4}"
Ci9DQUlRQUNvZENodHljRjlvT25keE1HRjNVMDVyZDIxNGRXeExXSFV3U1Rob1NFRRAB,Third Wave Coffee,Pranjal Hazarika,107640576626336785932,False,5,Cold coffee I love to have,0,9 hours ago,"{""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
Ci9DQUlRQUNvZENodHljRjlvT2xwWk5tSnhNVFJvUnpKWFp6VmtWbXQxWDFrMU9WRRAB,Third Wave Coffee,Nethravathi Chinnayellappa,109947850979602371557,False,5,Once we enter the store that coffee Aroma is every nice. I love to have coffee,0,9 hours ago,"{""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
Ci9DQUlRQUNvZENodHljRjlvT2sxRmFrVnpTMWM0YVRNM04wNU1jVVZhTFhWbkxWRRAB,Third Wave Coffee,Akash Reddy AS Akash Reddy As,101124163370606366081,False,5,Wonderful  cafe in Bangalore.. Wonderfull atmosphere...,0,9 hours ago,"{""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
Ci9DQUlRQUNvZENodHljRjlvT2tKUlVXUnhWRnB2WVRKSFIyNDBUamgzUWpkMGQxRRAB,Third Wave Coffee,shyamanta phukan,107700790371997968093,True,5,New citrus orange tonic with espresso. It was very refreshing.,0,18 hours ago,"{""dining_mode"": ""Dine in"", ""food"": 5, ""service_rating"": 4, ""atmosphere"": 4}"
Ci9DQUlRQUNvZENodHljRjlvT205VGNVNXVVVWN6V2xsQloyNHpRMEZXZEZwcWFIYxAB,Third Wave Coffee,Harsh Mishra,116959695954681501996,False,4,Service can be better.,0,an hour ago,"{""meal_type"": ""Breakfast"", ""price_per_person"": ""₹600–800"", ""food"": 5, ""service_rating"": 2, ""atmosphere"": 3, ""group_size"": ""2 people""}"
Ci9DQUlRQUNvZENodHljRjlvT210T1dUTXhiM2hMWm0xNldWVlJTV2xoZUhOdlJtYxAB,Third Wave Coffee,Ankit Raj,107985977906108416333,False,3,Food is good... But service and atmosphere is not good,0,an hour ago,"{""meal_type"": ""Breakfast"", ""price_per_person"": ""₹400–600"", ""food"": 3, ""service_rating"": 2, ""atmosphere"": 3, ""group_size"": ""2 people""}"
Ci9DQUlRQUNvZENodHljRjlvT2pkSlZIaEVUWHA0U1c5SlJFNVVTWEZvVmpKRFlYYxAB,Third Wave Coffee,Thara Sanju,104147926344650035910,False,5,Nice Ambience,0,7 hours ago,"{""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
Ci9DQUlRQUNvZENodHljRjlvT2pCaVFrSmhValpKY1ZkNFEwZFlaRlIzYkZWRlNrRRAB,Third Wave Coffee,Sushmita R,111671149650007809662,False,5,The unique thing about this cafe is that they have a totally different concept of having books and a few games for entertainment. Totally a vibe and the best place for book lovers.,0,9 hours ago,"{""meal_type"": ""Brunch"", ""price_per_person"": ""₹400–600"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""group_size"": ""Suitable for all group sizes""}"
Ci9DQUlRQUNvZENodHljRjlvT2xGWk5HbDNXVWh4Y2xRM1VGUnVNVzlTUmxkcVYyYxAB,Third Wave Coffee,Manikanta V D,109075533607582681356,False,5,Good service by the team,0,10 hours ago,"{""meal_type"": ""Breakfast"", ""price_per_person"": ""₹1–200"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""group_size"": ""1 person""}"
Ci9DQUlRQUNvZENodHljRjlvT2xRdFVFWkZNSFJEU0ZCak5GZGtRek13VmtGd2NFRRAB,Third Wave Coffee,Deepika L,106594488750424875373,False,5,Good service by the team. Friendly manager.,0,10 hours ago,"{""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
