restaurant_name,phone,address,latitude,longitude,place_type,website,review_id,place_name,reviewer_name,reviewer_id,local_guide,rating,review_text,likes,date,attributes
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT2xSQlRUTk9XbTE0VmpsV2ExQmxMV0Z5ZVU1UFlsRRAB,Glen's Bakehouse (HSR Layout),Meghali Bhoge,108481112099495458176,True,4,,0,2 days ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Brunch"", ""noise_level"": ""Quiet, easy to talk""}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT21WamJWRjRlVlExU25CWVRqWnJVMHBmWDBGeExYYxAB,Glen's Bakehouse (HSR Layout),ARJUN GUPTA,108953844852487820684,True,4,,0,3 days ago,"{""food"": 4, ""service_rating"": 4, ""atmosphere"": 5}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT25kS1pGQjBiWGRmUTFOT2VXTlVVbHBaYUZocmJVRRAB,Glen's Bakehouse (HSR Layout),Survi Agarwal,112071790485726968952,True,4,We just went there for coffee. That was not up to the mark. Had a lot better coffee.,0,3 days ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Other"", ""price_per_person"": ""₹200–400"", ""food"": 3, ""service_rating"": 4, ""atmosphere"": 5, ""noise_level"": ""Very quiet"", ""vegetarian_recommendation"": ""Somewhat recommend"", ""vegetarian_offerings"": ""Clearly labeled vegetarian dishes"", ""parking_space"": ""Somewhat difficult to find parking"", ""parking_options"": ""Free street parking"", ""kid_friendliness"": ""Yes""}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT21SMk5FdENPRmRsTjB4dWMycGFRVzF4YlZOQkxWRRAB,Glen's Bakehouse (HSR Layout),Ayush Singh,107833570968160334339,True,5,,0,4 days ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹1,000–1,200"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""noise_level"": ""Quiet, easy to talk""}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,ChZDSUhNMG9nS0VJQ0FnSUNod2RyM1BBEAE,Glen's Bakehouse (HSR Layout),Ranjit PD,102289345224127301625,True,4,"Good peaceful place with cafe like ambience. Service was slow and they  misplaced our order paper. Food quality is excellent. The tiny stone like croissant didn't make a good fit with rest of the items on plate, the big croissant on bakery is fluffy though. Visited this place couple of times later but service is still slow. Food is good. 22.03.2024 : Tried citrus chicken it was delicious. Service is still slow. No improvement in service 08.06.2025 01.05.2026 there are some changes in menu for good.",0,Edited 5 days ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Breakfast"", ""price_per_person"": ""₹600–800"", ""food"": 4, ""service_rating"": 1, ""atmosphere"": 4, ""noise_level"": ""Moderate noise"", ""vegetarian_recommendation"": ""Somewhat recommend"", ""vegetarian_offerings"": ""Vegetarian menu or section"", ""parking_space"": ""Difficult to find parking"", ""kid_friendliness"": ""Yes"", ""wheelchair_accessibility"": ""No""}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT2s5NU5tSktkWE5EVGxOUk1FSlBlbGhWYlZaZk5HYxAB,Glen's Bakehouse (HSR Layout),Akella Madhav,108670605890819779487,False,4,,0,6 days ago,"{""food"": 4, ""service_rating"": 3, ""atmosphere"": 4}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT21aTFFtOUJZMm93T1dGUE5FTmFNM0Z1VmtoM09IYxAB,Glen's Bakehouse (HSR Layout),Vibha,100126434474599167259,True,5,"Tried boba drink, pancakes & tarts🧋🥞 Boba was decent, pancakes were good—but the tarts stole the show 🫶🏻",0,6 days ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Other"", ""price_per_person"": ""₹200–400"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 5, ""noise_level"": ""Quiet, easy to talk""}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT21veFgweDRNVVpMWTNseFp5MUVYME5QYUc1Q1YzYxAB,Glen's Bakehouse (HSR Layout),Thashwin Monnappa,107128687816663287052,True,5,,0,a week ago,"{""dining_mode"": ""Take out"", ""meal_type"": ""Dinner"", ""price_per_person"": ""₹200–400"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 4, ""noise_level"": ""Moderate noise""}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT2xKVlVUUldVa1V0WjFaclNGRk5jMWd3WlhWWWFrRRAB,Glen's Bakehouse (HSR Layout),Phaneesh deexith,111313822776255031181,False,1,,0,a week ago,"{""dining_mode"": ""Take out"", ""meal_type"": ""Other"", ""food"": 1, ""service_rating"": 1, ""atmosphere"": 2}"
Glen's Bakehouse (HSR Layout),095137 34879,"2337, SECTOR 1, HSR Layout 17th Cross, 24th Main Rd, Bengaluru, Karnataka 560102",12.9120508,77.6482099,Bakery and Cake Shop,,Ci9DQUlRQUNvZENodHljRjlvT2paNlVHNU1XVXhpU0ZvNVdtOUpXbUp2VkZaSU1GRRAB,Glen's Bakehouse (HSR Layout),Manaswi Chintapenta,111032271273824828688,False,5,,0,a week ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Other"", ""price_per_person"": ""₹200–400"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""noise_level"": ""Quiet, easy to talk"", ""vegetarian_recommendation"": ""Highly recommend"", ""vegetarian_offerings"": ""Large vegetarian selection"", ""parking_space"": ""Not sure""}"
