restaurant_name,phone,address,latitude,longitude,place_type,website,review_id,place_name,reviewer_name,reviewer_id,local_guide,rating,review_text,likes,date,attributes
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xSaldFWkJNV1J6UTA5NlFrWjROV1JyV21SdmQwRRAB,Kapoor's Cafe,Nk Nk,114287398845228416155,False,1,worst taste ... paneer pulao was  just blant Jeera rice with few panner no flavour ..... and less qty for that price,0,3 days ago,
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xKR1RVSlJaMmRFV2pObWVXZDZla1Z0TmxGalJtYxAB,Kapoor's Cafe,Neha Maskara,103663143184218175150,False,1,Ordered on swiggy.. food was stale and lowest quality food I have had in along time,0,4 days ago,"{""meal_type"": ""Dinner"", ""food"": 1}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT21kMlVsOXhVSGhPYURJM2VGcEpUakJmY0VkcVozYxAB,Kapoor's Cafe,manoja senapati,114939305619598073640,True,5,,0,5 days ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹1,400–1,600"", ""food"": 4, ""service_rating"": 3, ""atmosphere"": 4, ""group_size"": ""3-4 people"", ""wait_time"": ""10-30 min""}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT25oWWFtNUthWFJzV25oblUyWlRaekpGZG1OUlJsRRAB,Kapoor's Cafe,Prateek Batra,106258371178406957076,True,4,,0,5 days ago,"{""meal_type"": ""Dinner"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 5, ""group_size"": ""Suitable for all group sizes"", ""wait_time"": ""No wait""}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xCWWQyWXpWRkp6TVVSWlJGZFlObU15YjNaTGNGRRAB,Kapoor's Cafe,P Narayana Bhat,108667857232070591335,True,5,Very good veg Rajasthani restaurant,0,5 days ago,"{""meal_type"": ""Lunch"", ""price_per_person"": ""₹800–1,000"", ""food"": 4, ""service_rating"": 5, ""atmosphere"": 5, ""group_size"": ""3-4 people"", ""wait_time"": ""No wait"", ""vegetarian_recommendation"": ""Highly recommend"", ""parking_space"": ""Somewhat difficult to find parking""}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2paT1NrVnRWM2hWY0dzMlZuZ3plakkxYW1WRWFuYxAB,Kapoor's Cafe,Harsh,104376544443895508809,True,3,"Food was as usual better.  But service & atmosphere: I didn't like it personally.  Precisely : I feel, staff can be added more as I had to wait for even calling them & asking for something... & environment can be kept more peaceful.  It can be termed as crowded or less spacious.",0,a week ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹400–600"", ""food"": 5, ""service_rating"": 3, ""atmosphere"": 3, ""noise_level"": ""Loud, but you can still talk"", ""wait_time"": ""10-30 min""}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xOSVVEWlJNV2w0Y0VReGQyY3lUamxOUTNKYWJFRRAB,Kapoor's Cafe,Sanchita Routh,107711361790365959177,True,4,Food is delicious but overly charged and they ask to pay service charge mandatorily,0,a week ago,"{""food"": 5, ""service_rating"": 3, ""atmosphere"": 3}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,ChdDSUhNMG9nS0VJQ0FnSUNLNV9fVWpRRRAB,Kapoor's Cafe,BIKRAM SHARMA,109487033633386270618,False,5,,0,Edited a week ago,"{""meal_type"": ""Breakfast"", ""price_per_person"": ""₹400–600"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""group_size"": ""9+ people"", ""wait_time"": ""No wait"", ""vegetarian_recommendation"": ""Highly recommend"", ""vegetarian_offerings"": ""Menu is all vegetarian""}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT21WaGQxSlRUSGR0TTFveWVUSmhjWFV6TWs5a2VGRRAB,Kapoor's Cafe,krishna kkc,104188218845501339507,True,5,,0,a week ago,
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT25OTlpYcHBjM1pZZFRSTGJtVnhNbTlZWmsxU1RsRRAB,Kapoor's Cafe,Shekhar S,105500699142628142442,True,1,"extremely bad taste of food. tastes like bad highway dhaba food. service is bad too, clueless and they don't speak.. not sure what changed recently. only good thing is chola bhatura, but any gravy item is almost shit.",0,a week ago,"{""meal_type"": ""Lunch"", ""price_per_person"": ""₹2,000+"", ""food"": 1, ""service_rating"": 1, ""atmosphere"": 3, ""group_size"": ""5-8 people"", ""wait_time"": ""10-30 min""}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xaTVJVaHpaM1ZLYTI5bGIwcExXVXhFU0dOTU0wRRAB,Kapoor's Cafe,Mukesh Tiwari,113199006184890058179,True,3,,0,a week ago,"{""food"": 3, ""service_rating"": 3, ""atmosphere"": 4}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xGM1pGTnljbm81TXpKV2NXWlpkakJoVlY5aVNFRRAB,Kapoor's Cafe,Lohith S Choyal,110175146355650730694,False,1,"We had ordered hara bhara kabab and we found stones in it.The manager didn't  give us compensation,he didn't even apologise.Very rude .Customer health is not a priority for them.Kapoor's cafe has lost its name.This is my last visit.Gradual deterioration in food quality.",0,a week ago,"{""meal_type"": ""Dinner"", ""food"": 1, ""service_rating"": 1, ""atmosphere"": 3}"
Kapoor's Cafe - HSR Branch,097392 67702,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",12.908018,77.651948,Punjabi restaurant,,Ci9DQUlRQUNvZENodHljRjlvT25odE1ubEZiemg2YTNRd2RsSkRMV2hTUzB4bE1IYxAB,Kapoor's Cafe,Aditya Sharma,100461053302158428898,False,5,good parathas.,0,a week ago,"{""meal_type"": ""Brunch"", ""price_per_person"": ""₹400–600"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
