restaurant_name,phone,address,latitude,longitude,place_type,website,review_id,place_name,reviewer_name,reviewer_id,local_guide,rating,review_text,likes,date,attributes
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2s5RGEwcG5WemxJZWtoMmJVNXRjV0pPY2tRMWEzYxAB,Cafe 27,Ashwinth Mohann,102579323235068096364,True,4,"Ordered the traditional Kerala meal accompanied by fish fry, and it truly exceeded expectations. The food quality was impressive, and the fish was exceptionally well-prepared with authentic flavors. Overall, the meal offered great value for the price. I also tried their tea-time snacks, which were equally satisfying. A well-rounded dining experience that’s worth recommending for anyone craving genuine Kerala flavors.",0,5 months ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Lunch"", ""price_per_person"": ""₹200–400"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 4, ""seating_type"": ""Indoor dining area""}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xaTGJqRmxRM0ZsY25ONk1YQkNXV1J6VmtWck5GRRAB,Cafe 27,Amit Dey,103875889811367907369,True,4,"Had Kerala meal for lunch. Amazing experience if you are not from South India. Unlimited meal, they keep on serving, till you are full. It was packed, had to wait to get seats. Had fish, they show cooked fish in tray, you can choose from option. Very good taste. Additional charge for fish. Recommended if you are in HSR during lunch hours and if you are a foodie.",0,5 months ago,"{""food"": 4, ""service_rating"": 4, ""atmosphere"": 4}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT25OalNIcFVZMUZZYUVoelRYYzRSMEkzU0hKRU9IYxAB,Cafe 27,Shafeeque Muhammed,116358274638065858817,True,1,"⚠️ Caution About Food Coloring – Cafe 27, HSR Layout  I ordered Barbeque Alfaham from Cafe 27, HSR Layout. After eating, I noticed a dark red color stuck to my fingers that did not wash off even after using handwash multiple times.  I spoke to the staff at the counter, and after checking with the chef, they said food coloring was added. They also mentioned that colors are added to kebabs and other chicken/fish fried items.  Adding artificial color to food without informing customers is concerning, especially from a health and safety perspective.  I’m sharing this so others can eat carefully and be cautious when ordering items that may contain added colors from this place.",0,3 months ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹200–400"", ""food"": 1, ""service_rating"": 1, ""atmosphere"": 1, ""wait_time"": ""Up to 10 min""}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT25SNE56VmpjMWRuZFRCeE5FeHNVVjlLYjB4dlNGRRAB,Cafe 27,dj lij,114290522221224300041,False,1,"I went there for lunch with my friends, and the experience was extremely disappointing. The service was terrible — the staff behaved as if they were doing us a favor rather than serving paying customers. It felt like they had no understanding of what the hospitality industry stands for. To make things worse, my friend’s chicken biryani had a chicken leg that seemed spoiled. Overall, it was a very unpleasant experience, and I wouldn’t recommend this place to anyone.",0,6 months ago,"{""food"": 2, ""service_rating"": 1, ""atmosphere"": 2}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2xGb2VWcERhR1poZGxKWFpFaEtXakpsZGxaSWNuYxAB,Cafe 27,ASWATHIII R,115051206911119464267,True,5,"One of my absolute go to places for Kerala food in Bangalore. There’s no doubt about this place  . It delivers the kind of comfort food you'd get back home in Kerala, especially if you're from the Malabar region.  We had nei pathiri, puttu, and poori and every dish was spot on in taste and texture. Just the thought of their nei pathiri with chicken curry is enough to make you drool!  Lunch here is equally satisfying the sambar is perfectly balanced, which is rare to find, and the fish fry is consistently delicious.  If you're craving simple, soulful Malabar food, Cafe 27 is the place. Highly recommended for a homely Kerala meal.",0,9 months ago,"{""meal_type"": ""Breakfast"", ""price_per_person"": ""₹200–400"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 3, ""group_size"": ""3-4 people"", ""wait_time"": ""Up to 10 min""}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2paUk4wMDVTRlZGUlRWVVlsWlJSbTU2UWpCMFJFRRAB,Cafe 27,Manaf M Moidu,112260919614951798021,True,5,"Cafe 27 is a hidden gem in HSR Layout for anyone craving homely Kerala flavors and a simple, satisfying meal. It’s not overly posh, but the honest food and good value make it well worth a visit especially if you’re in the neighborhood and in the mood for comforting South Indian fare.",0,4 months ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Dinner"", ""price_per_person"": ""₹1–200"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""wait_time"": ""10-30 min"", ""vegetarian_recommendation"": ""Highly recommend"", ""vegetarian_offerings"": ""Vegetarian menu or section, Not sure"", ""parking_space"": ""Plenty of parking"", ""parking_options"": ""Free parking lot, Free street parking""}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2tWVlMxaFRlRFpVVkdGbmVHSkJhWGd6ZVRCRFozYxAB,Cafe 27,Priyanka Chourasia,102395495988705605840,True,5,"The best fish I've tasted in Bangalore till now. Their chicken biryani also gives tough competition to the well known brands in Bangalore. Definitely worth visiting regularly. Tip: if you are visiting for the first time, there is no management for the waiting tables. So, just be little clever to grab any table getting clean soon.",0,Edited 6 months ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Brunch"", ""price_per_person"": ""₹400–600"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 4, ""wait_time"": ""10-30 min""}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT2s5SGRXSkxObTFEVUd0SmJFZDBibXhYWjJkcU4zYxAB,Cafe 27,Saaleem,115862002894242522529,False,1,Worst attitude from the hotel staff… As they are there in inter state they need to respect every community people… but they have mallu parshiolity.  Literally they made us two wait 50 mins for getting four paratas. Though there is no crowd Note : dear management kindly show some ethics to your serving staff…,0,7 months ago,"{""food"": 4, ""service_rating"": 1, ""atmosphere"": 4}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,ChdDSUhNMG9nS0VJQ0FnSURfcjdIdDR3RRAB,Cafe 27,Ajay Jayakumar,112000702775953679698,True,5,"Nice place. Kerala food with proper Kerala taste is available. We had Pothu biriyani, porotta and pothu roast. The food was good and best in nearby.",0,Edited a year ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Lunch"", ""price_per_person"": ""₹200–400"", ""food"": 5, ""service_rating"": 4, ""atmosphere"": 4}"
Cafe 27,,"18th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.9112282,77.6522832,Kerala restaurant,,Ci9DQUlRQUNvZENodHljRjlvT25WZlFVcDZhbmhsZFZwelF6ZERhM2hMUldRM2NsRRAB,Cafe 27,ChaoS aDDict,118436223240791757858,True,2,Best to order online. General takeaways take a backseat and the intelligence of kitchen staff is questionable. The process is not defined. Had to wait 45 mins for a small package which is already available and i can see others getting the same item served. People after me got their orders.,0,a month ago,"{""dining_mode"": ""Take out"", ""meal_type"": ""Lunch"", ""food"": 4, ""service_rating"": 2, ""atmosphere"": 2}"
