restaurant_name,phone,address,latitude,longitude,place_type,website,review_id,place_name,reviewer_name,reviewer_id,local_guide,rating,review_text,likes,date,attributes
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT2t0blZsZFdNbEExZGxCRGRqUkZVV2hOVVUxcVkyYxAB,The Dome Cafe,Vinita Singh,117282579143225737986,False,5,"We came here for our anniversary and had a very pleasant experience. The decoration, food and staff everything was really nice. Afzal attended us and he made sure we have a good experience. He took some really good pictures of us. Thank you The Dome Cafe and Afzal for making our day more special.",0,5 months ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹2,000+"", ""food"": 5, ""service_rating"": 5, ""atmosphere"": 5, ""noise_level"": ""Quiet, easy to talk""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT2poWFNubDJWRmg2UVMxVGJHdG1UVE4yTTNGd2NsRRAB,The Dome Cafe,Shabana Urf Sadiya,106204214423040057936,True,4,"Aesthetics Cafe has a beautiful vibe and cozy atmosphere perfect for relaxing or catching up with friends. The decor is Instagram worthy, and the staff is polite and attentive. The food and coffee are good, though a few items could be improved for taste. Overall, a lovely spot worth visiting again!",0,Edited 3 months ago,"{""meal_type"": ""Dinner"", ""food"": 3, ""service_rating"": 4, ""atmosphere"": 4, ""wait_time"": ""No wait""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT2taSlVIVnZjRGs1ZVZGRmVGSjJXRVpsZVRGa1ZtYxAB,The Dome Cafe,Rachana Mishra,107249144626913102950,True,1,"Staffs - so so so rude, their expression were very bad full of attitude, the service is dead level slow, their should be more staffs to assist if they know it’s weekend and the cafe is hyped. We were literally waiting for someone to get free then to come us, called staffs multiple times then only they were coming. One staff was so rude I can’t imagine, when I asked them it’s been 15mins we have asked for water can u pls get us - he’s like kind of threw his order note book and gave a very weird expression and got us the bottle and again very loudly put that in table, very angrily he was making sounds of utensils and stuffs he was doing, such a bad mannered behaviours. Coming to food it was pathetic. So bland and so tasteless. The quantity was literally like very less just to taste it seems, the pink pasta, prawns fish soup as starters were so bad that we didn’t ordered any main course just had ice-cream as dessert and left, mocktails were very okayish kind of similar taste. unnecessary hyped. Doesn’t look like the images they had posted.  The seats had stains, not maintained properly, dusted and uncleaned. They have mentioned 5th floor outside but in lift there were only 4th floors which caused confusions and no one was there to help or assist with the same when the Google number of them no one picked. After struggling for sometime we found we have to walk one stairs up to get to cafe( they should put this atleast somewhere either in updates section in map or inside life or keep someone in receptionist area. Mood off by visiting this place. Not recommended at all.",0,7 months ago,"{""meal_type"": ""Lunch"", ""price_per_person"": ""₹400–600"", ""food"": 1, ""service_rating"": 1, ""atmosphere"": 1, ""noise_level"": ""Moderate noise"", ""wait_time"": ""Up to 10 min""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25sME0xbDFZelJRVm5jNExWTXhjblZRZUVKdFpGRRAB,The Dome Cafe,Rahul Umrao,117005283939328413934,False,5,"We celebrated my son’s first birthday at The Dome Cafe - HSR Layout, and the experience was truly wonderful. The decoration was exactly as promised, beautifully done and perfectly matched what we had selected.  The staff was extremely helpful, polite, and supportive throughout the celebration. They went the extra mile by helping us with photos and videos, which made the day even more memorable for us.  Special thanks to Rubel for his excellent support and coordination. He ensured everything was arranged perfectly and made the entire experience smooth and stress-free for us.  Thank you to the entire team for making our son’s first birthday so special. Highly recommended for special celebrations!",0,3 months ago,"{""food"": 4, ""service_rating"": 5, ""atmosphere"": 5}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25ZNFpEQnVPRXRGY0daSVRUUTRUbTlQV0VkVFNsRRAB,The Dome Cafe,Av Reddy,101393488856941636545,True,4,"I visited Dome Cafe in HSR last month for a birthday celebration. They arranged the terrace nicely like a balloon room for the party. It’s a bit small, but overall good for birthday parties. They provide around 2 hours for the celebration, so you need to book in advance. Nice place for a cozy birthday gathering!”",0,6 months ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹400–600"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 5, ""noise_level"": ""Moderate noise"", ""wait_time"": ""Up to 10 min"", ""parking_space"": ""Somewhat difficult to find parking"", ""parking_options"": ""Free street parking""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25GNFNHRllRMEZUTUd0TE1qRnlWMkZOY2s0eFdtYxAB,The Dome Cafe,Ruchi Kanhere,116291606362421908154,True,4,"We recently celebrated our anniversary at Dome Café and had an amazing experience. They offer a variety of packages, so you can easily choose one according to your budget and requirements. When we arrived, the venue was beautifully decorated, and our daughter was absolutely happy, which made the celebration even more special.  Mr. Afazal has excellent photography skills and captured some truly amazing pictures and videos. The food was enjoyable overall The staff was very polite, cooperative, and well-behaved throughout , which we truly appreciated. Overall, it was a lovely experience. It’s especially great for families with young kids — they will absolutely love it.",0,Edited 3 months ago,"{""meal_type"": ""Dinner"", ""food"": 3, ""service_rating"": 5, ""atmosphere"": 5, ""noise_level"": ""Quiet, easy to talk"", ""wait_time"": ""No wait"", ""vegetarian_recommendation"": ""Somewhat recommend"", ""vegetarian_offerings"": ""Vegetarian menu or section, Clearly labeled vegetarian dishes"", ""parking_space"": ""Not sure"", ""kid_friendliness"": ""Staff and facility is kid friendly""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25jMlFtOVNVMXBuV2xCaU1VUlRYelozVlRKTlUxRRAB,The Dome Cafe,Isha Sharma,105904285012726875648,False,5,"The best place for your special occasions. The staff is so good, specially afzal helped us capture our dome experience fantastically. The food was top notch. Would love to recommend this place to everyone.",0,3 months ago,"{""food"": 5, ""service_rating"": 5, ""atmosphere"": 5}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25GYVYwUXhVbHBZZHpOMU9WSjBVRGx3ZEhGaU5VRRAB,The Dome Cafe,Maithri bs,102454005965013389835,True,5,"We had booked Dome Café, HSR Layout for our anniversary celebration, and it turned out to be a really good experience.  ✨ Ambience & Decoration The decoration was done beautifully and set the perfect vibe for a special evening. The domes themselves give a cozy and romantic feel, and the ambience inside is just stunning. Definitely Instagram-worthy!  🍰 Food & Drinks We were pleasantly surprised to receive a complimentary cake and mocktail which were good. For food, we ordered the Farmhouse Veg Burger, American Crispy Corn, and Peri Peri French Fries. The portions were generous, and by the end, our stomachs were completely full. The food was decent and good overall, matching our expectations for a casual celebration.  📸 Service The staff were polite and helpful, especially when it came to clicking our pictures and videos, which made our day more memorable.  ⚠️ Things to Improve The only drawback we faced was the ordering system. We had to get up and call the staff whenever we needed something. It would be a lot more convenient if each dome had a bell or calling system so that customers could press it whenever they require service. Also, lift access is only available till the 4th floor, and since the café is on the 5th floor, climbing a floor after the lift might be inconvenient for some.  💡 Final Word Overall, Dome Café is a lovely place with a beautiful ambience, good food, and friendly staff. Perfect for celebrations and special occasions, with just a small scope for improvement in service accessibility.",0,8 months ago,"{""meal_type"": ""Dinner"", ""price_per_person"": ""₹2,000+"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 4, ""noise_level"": ""Quiet, easy to talk"", ""wait_time"": ""No wait"", ""vegetarian_recommendation"": ""Somewhat recommend"", ""parking_space"": ""Difficult to find parking"", ""parking_options"": ""Parking is unavailable""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25aeFFreFdiakZ5VmxSWFVHTlJNSEIwV1dZd01XYxAB,The Dome Cafe,Rujutha Shetty,112417081595189362484,True,3,This place has 3 domes which are cute but again you have to pay around 4200 for 2 people and 9K for 5 people. You do get cake and mocktails under this package. I think this is a bit overpriced. Also they should have some packages with lower cost which would have more people come and celebrate. They could also use the same balloons but they put different balloons everytime is what was noticed when we went there. Overall a decent place to visit. We ordered sizzlers where the rice was not cooked hence it was not that great.,0,7 months ago,"{""price_per_person"": ""₹200–400""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,ChZDSUhNMG9nS0VJQ0FnTUR3NVp2TlNBEAE,The Dome Cafe,gyanendra jha,102079293405055722150,True,4,"Located on a rooftop of a building in HSR Layout, The Dome Cafe is a decent place serving some tasty food. The place itself feels old and rusty. Cleanliness is a hit and miss and the place needs strong maintenance. A complete renovation of the place would be best.  Food was delectable and appetizing while service was as per expectations without any complaints. They have small pods as well which is pre-decorated and can be used to celebrate Birthdays, anniversaries etc.  On the whole its a fine place serving some nice tasty food.",0,a year ago,"{""dining_mode"": ""Dine in"", ""meal_type"": ""Dinner"", ""price_per_person"": ""₹600–800"", ""food"": 4, ""service_rating"": 4, ""atmosphere"": 3, ""vegetarian_recommendation"": ""Highly recommend"", ""vegetarian_offerings"": ""Clearly labeled vegetarian dishes"", ""parking_space"": ""Plenty of parking"", ""parking_options"": ""Free street parking""}"
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT21SalVuVkpYMVZOUjBkTVN6RnBjMnhyYUhOS1ZIYxAB,The Dome Cafe,Smitharamegowda Ramegowda,111262687527697857362,False,5,Tq so much for making day more special Abzal sir tq so much for helping ud,0,3 days ago,
The Dome Cafe - HSR Layout,096064 59936,"5th floor, #16, 9th main, 17th Cross Rd, above Lenskart, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102",12.9122262,77.6359496,Restaurant,https://www.eazydiner.com/bengaluru/the-dome-cafe-hsr-south-bengaluru-683746/menu,Ci9DQUlRQUNvZENodHljRjlvT25OcVMxaHJXRFJTTVVwQmVtRkpXSGRWYldjMU1YYxAB,The Dome Cafe,Ridhima kumari,109978143368834074520,True,1,"Horrible food, nothing tastes nice. Never try their food",0,3 days ago,"{""price_per_person"": ""₹800–1,000"", ""food"": 1, ""service_rating"": 2, ""atmosphere"": 2}"
